FarmerID,State,Gender,Age,Crop,FarmSize_Ha,Yield_Tons,AnnualRevenue_NGN,FertilizerUsed,LoanAmount_NGN
F0457,Lagos,Female,N/A,Sorghum,,55.45,,,
F0458,Kaduna,male,62,Cassava,unknown,,,Yes,4678413
F0459,Borno,Male,,Yam,unknown,,940350,Yes,
F0460,Kaduna,female,20,Soybean,,,776746,Yes,4507707
F0461,Lagos,F,50,Rice,unknown,,7080765,Y,1929910
F0462,Kano,Female,,Yam,9.7,,,No,
F0463,Nasarawa,Female,N/A,Yam,,16.34,588457,Y,1145057
F0464,Enugu,F,,Yam,unknown,12.71,9749268,Yes,
F0465,Oyo,male,,Sorghum,,58.95,,N,4860921
F0466,Kogi,Female,54,maize ,24.51,79.3,,N,
F0467,Kano,male,66,maize ,23.77,28.8,10915599,Yes,
F0468,Enugu,,N/A,Maize,,,,N,11439
F0469,KANO,M,51,Sorghum,,55.9,13265276,,2816011
F0470,lagos,M,74,Rice,,,6197725,,562086
F0471,Nasarawa,Female,52, Rice,unknown,69.72,12686154,Y,
F0472,Rivers,M,21,Soybean,,40.22,,N,3088231
F0473,Enugu,Male,,Cassava,7.57,,1929460,N,1262469
F0474,lagos,Male,,Cassava,,35.62,4940840,Yes,184856
F0475,Borno,female,,Soybean,,,,,
F0476,Benue,Female,,Sorghum,19.36,,7699177,,
F0477,Kaduna,,N/A,Cassava,4.45,,9688932,N,
F0478,Borno,female,N/A,Soybean,24.46,29.96,,Yes,
F0479,,Female,,Cassava,unknown,,,N,2431246
F0480,KANO,F,N/A,Rice,18.43,11.33,5218761,N,
F0481,Nasarawa,Male,N/A,Yam,14.79,,3333564,Yes,
F0482,Kano,male,43, Rice,unknown,41.02,,N,
F0483,Nasarawa,Male,,Soybean,,69.97,,N,
F0484,KANO,F,,Cassava,unknown,7.07,,,2813679
F0485,Kogi,,42,Maize,,,11965967,No,
F0486,Enugu,Male,,Sorghum,unknown,37.18,13324461,No,
F0487,lagos,F,N/A,Sorghum,,72.56,527187,Y,4136005
F0488,Nasarawa,male,N/A,maize ,unknown,54.94,6311294,Y,1366061
F0489,Enugu,female,,Cassava,,,,Y,4442710
F0490,,female,29,Cassava,,,,Yes,
F0491,Lagos,Female,,Soybean,,27.36,1768286,No,4222681
F0492,,male,N/A,Rice,10.72,9.5,,Y,
F0493,Enugu,male,,Cassava,17.89,59.61,3780545,No,
F0494,Kaduna,Male,N/A,Rice,,60.64,3344223,Yes,4307375
F0495,Benue,Male,,Maize,18.99,73.62,9908343,No,2948878
F0496,KANO,M,,Soybean,unknown,62.51,8520971,Yes,4849736
F0497,KANO,Female,36,Maize,24.35,,6198229,N,900303
F0498,Rivers,F,N/A,Yam,,10.06,8769581,N,
F0499,Lagos,Male,,Rice,,,,No,
F0500,Rivers,Female,72, Rice,,,11325891,N,3674699
